Date,strategy_value,benchmark_value
2022-01-26,9974.91204606007,9974.91204606007
2022-01-27,9925.656294398854,9925.656294398854
2022-01-28,10172.164038145604,10172.164038145604
2022-01-31,10355.375570189552,10355.375570189552
2022-02-01,10425.346075319494,10425.346075319494
2022-02-02,10526.618749707182,10526.618749707184
2022-02-03,10279.19084974179,10279.19084974179
2022-02-04,10327.525742775037,10327.525742775037
2022-02-07,10294.381856261343,10294.381856261343
2022-02-08,10379.082587392188,10379.082587392188
2022-02-09,10530.991950178386,10530.991950178388
2022-02-10,10341.795890666615,10341.795890666617
2022-02-11,10137.868902744614,10137.868902744616
2022-02-14,10104.725016230923,10104.725016230925
2022-02-15,10267.682575324796,10267.682575324798
2022-02-16,10279.19084974179,10279.19084974179
2022-02-17,10279.19084974179,10059.612777190914
2022-02-18,10279.19084974179,9994.476253050827
2022-02-22,10168.878191032378,9887.219051195312
2022-02-23,9988.495946364965,9711.833061465804
2022-02-24,10138.814001975143,9857.987584634177
2022-02-25,10362.516824329176,10075.494252079114
2022-02-28,10336.004047070417,10049.715829770537
2022-03-01,10178.583890282283,9896.65592050637
2022-03-02,10365.831282696021,10078.71690607235
2022-03-03,10314.225281511293,10028.540295783163
2022-03-04,10230.426122479643,9947.062218645553
2022-03-07,9928.841475113757,9653.830908862179
2022-03-08,9853.56397059285,9580.638452148329
2022-03-09,10117.746096710915,9837.503221424777
2022-03-10,10072.058874383982,9793.081450753414
2022-03-11,9943.992046358188,9668.561837272408
2022-03-14,9871.318139909232,9597.900863773822
2022-03-15,10088.392767948575,9808.962925641614
2022-03-16,10312.094867883607,10026.468890677223
2022-03-17,10441.108787216926,10151.909362786198
2022-03-18,10522.777532620892,10231.316034817868
2022-03-21,10519.700750104677,10228.324473493285
2022-03-22,10642.795890580204,10348.010105984435
2022-03-23,10505.733501180403,10214.74409156102
2022-03-24,10664.100749276064,10368.724859453163
2022-03-25,10716.179934905056,10419.361547851671
2022-03-28,10792.404530733489,10493.47486319349
2022-03-29,10925.915508334812,10623.287833364344
2022-03-30,10858.450242867757,10557.691231114935
2022-03-31,10691.324386829718,10395.19445253971
2022-04-01,10721.624806899586,10424.655606950846
2022-04-04,10813.472435997717,10513.95922640289
2022-04-05,10676.88395346118,10381.153992498128
2022-04-06,10570.121984131249,10277.34913248585
