Date,strategy_value,benchmark_value
2022-01-26,9974.91204606007,9974.91204606007
2022-01-27,9925.656294398854,9925.656294398854
2022-01-28,10172.164038145604,10172.164038145604
2022-01-31,10355.375570189552,10355.375570189552
2022-02-01,10425.346075319492,10425.346075319494
2022-02-02,10526.61874970718,10526.618749707184
2022-02-03,10279.190849741788,10279.19084974179
2022-02-04,10327.525742775033,10327.525742775037
2022-02-07,10294.38185626134,10294.381856261343
2022-02-08,10379.082587392184,10379.082587392188
2022-02-09,10530.991950178382,10530.991950178388
2022-02-10,10341.79589066661,10341.795890666617
2022-02-11,10137.868902744609,10137.868902744616
2022-02-14,10104.725016230917,10104.725016230925
2022-02-15,10267.68257532479,10267.682575324798
2022-02-16,10279.190849741786,10279.19084974179
2022-02-17,10498.768922292662,10059.612777190914
2022-02-18,10566.74900567109,9994.476253050827
2022-02-22,10453.350374030753,9887.219051195312
2022-02-23,10267.921974817016,9711.833061465804
2022-02-24,10422.445145742788,9857.987584634177
2022-02-25,10652.406006498151,10075.494252079114
2022-02-28,10625.151539990837,10049.715829770537
2022-03-01,10463.327588132273,9896.65592050637
2022-03-02,10655.813186125823,10078.71690607235
2022-03-03,10602.763518143534,10028.540295783163
2022-03-04,10516.620095639026,9947.062218645553
2022-03-07,10206.598682547043,9653.830908862179
2022-03-08,10129.215306007663,9580.638452148329
2022-03-09,10400.787870354427,9837.503221424777
2022-03-10,10353.822557797055,9793.081450753414
2022-03-11,10222.173087767515,9668.561837272408
2022-03-14,10147.466144396867,9597.900863773822
2022-03-15,10370.613388525404,9808.962925641614
2022-03-16,10600.573506652254,10026.468890677223
2022-03-17,10733.1965626652,10151.909362786198
2022-03-18,10817.149973678426,10231.316034817868
2022-03-21,10813.98711883225,10228.324473493285
2022-03-22,10940.525819420283,10348.010105984435
2022-03-23,10799.62913911965,10214.74409156102
2022-03-24,10962.426676961622,10368.724859453163
2022-03-25,11015.962766621356,10419.361547851671
2022-03-28,11094.319729144143,10493.47486319349
2022-03-29,11231.565647664122,10623.287833364344
2022-03-30,11162.213055887965,10557.691231114935
2022-03-31,10990.411889927882,10395.19445253971
2022-04-01,11021.559957740314,10424.655606950846
2022-04-04,11115.977004532502,10513.95922640289
2022-04-05,10975.567488537834,10381.153992498128
2022-04-06,10865.818876049634,10277.34913248585
