Date,strategy_value,benchmark_value
2022-02-22,10000.0,10000.0
2022-02-23,9822.613427677315,9822.613427677315
2022-02-24,9700.0,9970.4350976652
2022-02-25,9914.020828906752,10190.422807372757
2022-02-28,9888.65554068272,10164.350337272623
2022-03-01,9738.04862348832,10009.54451323693
2022-03-02,9917.191835510892,10193.682221346036
2022-03-03,9867.819373268825,10142.933259449495
2022-03-04,9787.647092521918,10060.52578297333
2022-03-07,9499.115211092869,9763.949659530484
2022-03-08,9409.0,9689.922315405847
2022-03-09,9691.27,9949.71707462623
2022-03-10,9647.508553242182,9904.788596313623
2022-03-11,9524.839907816793,9778.848619828575
2022-03-14,9455.22930061046,9707.381634893065
2022-03-15,9663.153952046683,9920.851227075587
2022-03-16,9877.426718858072,10140.838226361613
2022-03-17,9982.008100000001,10267.709565470674
2022-03-18,10060.085830512426,10348.022008858958
2022-03-21,10057.144335636289,10344.996323568592
2022-03-22,10174.826922259817,10466.047179093715
2022-03-23,10043.791233514843,10331.261033734367
2022-03-24,10195.194995843325,10486.998220394073
2022-03-25,10244.984234073125,10538.212508391858
2022-03-28,10281.468343,10613.171215140505
2022-03-29,10408.658617024848,10744.464928265188
2022-03-30,10344.387305735843,10678.120082550984
2022-03-31,10185.173555615685,10513.769745278363
2022-04-01,10214.039487099331,10543.56695545302
2022-04-04,10301.53884725238,10633.889238179474
2022-04-05,10171.416764150445,10499.569129342895
2022-04-06,10069.709141463007,10394.580194158205
2022-04-07,10120.450085039438,10446.958152619858
2022-04-08,10093.388661396197,10419.023667693225
2022-04-11,9973.02429271,10240.93875100791
2022-04-12,9936.071942743329,10202.99371632158
2022-04-13,10049.875522608674,10319.854505670943
2022-04-14,9924.73690002158,10191.35416999677
2022-04-18,9928.817349360745,10195.544236172533
2022-04-19,10089.095019486916,10360.127591706541
2022-04-20,10081.613503862345,10352.445093296108
2022-04-21,9930.857574030328,10197.639269260417
2022-04-22,9673.8335639287,9917.82483136369
2022-04-25,9617.748735667168,9975.324218625123
2022-04-26,9899.535205358157,9686.43059359271
2022-04-27,9872.969108938836,9713.666734156714
2022-04-28,9633.643490731762,9959.028569601775
2022-04-29,9964.04857084656,9590.986171644947
2022-05-02,9904.07053705043,9648.718577167765
