Date,strategy_value,benchmark_value
2022-02-04,10000.0,9967.907234182514
2022-02-07,9917.721401524144,10049.921777879103
2022-02-08,9772.564570396633,10197.0135078537
2022-02-09,9948.134993087164,10013.817586367735
2022-02-10,10144.299491596808,9816.357911125904
2022-02-11,10177.464401730867,9784.26514530842
2022-02-14,10013.333784222044,9942.054690599918
2022-02-15,10002.110590266406,9953.197993171732
2022-02-16,10215.769836111283,9740.583589664204
2022-02-17,10281.917485457014,9677.512796366347
2022-02-18,10392.259405461353,9573.657134781044
2022-02-22,10576.604132923652,9403.833312407902
2022-02-23,10735.772698116718,9545.352710963378
2022-02-24,10972.646818921401,9755.961401623967
2022-02-25,11000.720630137428,9731.000512684415
2022-02-28,10833.176658744582,9582.79472450592
2022-03-01,11032.466078842,9759.081852808016
2022-03-02,10977.541254965541,9710.496536693661
2022-03-03,11066.729604094422,9631.602444181126
2022-03-04,11392.967798397072,9347.670632160698
2022-03-07,11479.345870511528,9276.799391035926
2022-03-08,11787.116541871357,9525.51798605482
2022-03-09,11840.34189551183,9482.505001359585
2022-03-10,11990.89254739053,9361.93438591656
2022-03-11,12078.525863986722,9293.514344893647
2022-03-14,11812.913767200162,9497.882813319347
2022-03-15,11550.9717832927,9708.49082384672
2022-03-16,11406.458358914459,9829.953093932787
2022-03-17,11317.238797787422,9906.841473598384
2022-03-18,11320.547874916243,9903.944786241611
2022-03-21,11188.081708432479,10019.834724908558
2022-03-22,11332.166517304478,9890.79509068964
2022-03-23,11161.341317321472,10039.892533511184
2022-03-24,11106.833808437257,10088.923336880456
2022-03-25,11027.83047673469,10160.68623264827
2022-03-28,10891.40708530438,10286.38233198907
2022-03-29,10958.659268406042,10222.866051436298
2022-03-30,11127.327473379815,10065.522673532927
2022-03-31,11158.863575409769,10094.049500911446
2022-04-01,11063.27030654521,10180.52095755683
2022-04-04,11203.014067118555,10051.927490726042
2022-04-05,11315.036999038573,9951.414683885643
2022-04-06,11372.05311001733,10001.559545458811
2022-04-07,11341.644981493624,9974.816027366382
2022-04-08,11535.499604155297,9804.323634044258
2022-04-11,11578.241284702965,9767.996358838825
2022-04-12,11710.853580018142,9879.874871811891
2022-04-13,11856.674300187837,9756.853056267011
2022-04-14,11861.549044909058,9760.864481960894
2022-04-18,11670.071915447337,9918.430943558327
2022-04-19,11678.725796217283,9911.075982986331
2022-04-20,11853.364227455239,9762.870194807834
2022-04-21,12178.610332059907,9494.985445829361
2022-04-22,12249.216805121894,9550.033387739455
2022-04-25,11894.469373451213,9273.456536291023
2022-04-26,11927.914039849156,9299.53148343447
2022-04-27,12229.20653442869,9534.432492085629
2022-04-28,12681.144840116312,9182.081319175499
2022-04-29,12757.47828313259,9237.352344779656
2022-05-02,12815.959103027384,9279.69675852591
2022-05-03,12425.675550373997,9562.290748515166
2022-05-04,11984.032066429014,9222.420020074811
2022-05-05,11912.500266792313,9167.372078164715
2022-05-06,12293.905980624266,8873.857869297712
2022-05-09,12265.500568313391,8894.361165155251
2022-05-10,12460.351928655844,8753.064170160624
2022-05-11,12473.359668749848,8743.92658043575
2022-05-12,12175.148485362908,8952.97504550431
2022-05-13,12224.54993766751,8916.647770298881
2022-05-16,11973.086064012065,9100.06677547891
2022-05-17,12455.740002489432,8733.22876511885
2022-05-18,12532.026689315471,8679.74104880078
2022-05-19,12526.556004622164,8683.530070933813
2022-05-20,12292.183140192477,8845.999612868174
2022-05-23,12386.018922339194,8778.471226488304
2022-05-24,12276.589634130964,8856.028177102879
2022-05-25,12031.28638309311,9032.983876353957
2022-05-26,11735.928639392847,9254.735869586359
2022-05-27,11801.77874210417,9202.807698727103
2022-05-31,11897.237775059846,9128.370519163365
2022-06-01,11670.67298265744,9302.206447363606
2022-06-02,11862.206508514962,9149.543066103099
2022-06-03,11826.088815167126,9177.401322532636
2022-06-06,11712.65033121066,9265.433004770046
2022-06-07,11839.992064172664,9164.697794368794
2022-06-08,12121.581256310099,8946.734823269426
2022-06-09,12473.054409278384,8687.31841293363
2022-06-10,11999.475500147171,8357.476928861193
