Date,strategy_value,benchmark_value
2022-01-25,9974.91204606007,9974.91204606007
2022-01-26,9925.656294398854,9925.656294398854
2022-01-27,10172.164038145604,10172.164038145604
2022-01-28,10355.375570189552,10355.375570189552
2022-01-31,10355.375570189552,10425.346075319494
2022-02-01,10355.375570189552,10526.618749707184
2022-02-02,10355.375570189552,10279.19084974179
2022-02-03,10355.375570189552,10327.525742775037
2022-02-04,10355.375570189552,10294.381856261343
2022-02-07,10355.375570189552,10379.08258739219
2022-02-08,10355.375570189552,10530.991950178388
2022-02-09,10355.375570189552,10341.795890666617
2022-02-10,10355.375570189552,10137.868902744616
2022-02-11,10355.375570189552,10104.725016230925
2022-02-14,10355.375570189552,10267.682575324798
2022-02-15,10355.375570189552,10279.19084974179
2022-02-16,10355.375570189552,10059.612777190914
2022-02-17,10355.375570189552,9994.476253050827
2022-02-18,10355.375570189552,9887.219051195312
2022-02-22,10355.375570189552,9711.833061465804
2022-02-23,10355.375570189552,9857.987584634177
2022-02-24,10355.375570189552,10075.494252079114
2022-02-25,10355.375570189552,10049.715829770537
2022-02-28,10355.375570189552,9896.65592050637
2022-03-01,10355.375570189552,10078.71690607235
2022-03-02,10355.375570189552,10028.540295783163
2022-03-03,10355.375570189552,9947.062218645553
2022-03-04,10355.375570189552,9653.830908862179
2022-03-07,10355.375570189552,9580.638452148329
2022-03-08,10355.375570189552,9837.503221424777
2022-03-09,10355.375570189552,9793.081450753414
2022-03-10,10355.375570189552,9668.561837272408
2022-03-11,10355.375570189552,9597.900863773822
2022-03-14,10355.375570189552,9808.962925641614
2022-03-15,10355.375570189552,10026.468890677223
2022-03-16,10355.375570189552,10151.909362786198
2022-03-17,10355.375570189552,10231.316034817868
2022-03-18,10355.375570189552,10228.324473493285
2022-03-21,10355.375570189552,10348.010105984435
2022-03-22,10355.375570189552,10214.74409156102
2022-03-23,10355.375570189552,10368.724859453163
2022-03-24,10355.375570189552,10419.361547851671
2022-03-25,10355.375570189552,10493.47486319349
2022-03-28,10355.375570189552,10623.287833364344
2022-03-29,10355.375570189552,10557.691231114935
2022-03-30,10355.375570189552,10395.19445253971
2022-03-31,10355.375570189552,10424.655606950846
2022-04-01,10355.375570189552,10513.95922640289
2022-04-04,10355.375570189552,10381.153992498128
2022-04-05,10355.375570189552,10277.34913248585
2022-04-06,10355.375570189552,10329.136367362325
2022-04-07,10355.375570189552,10301.516930207134
2022-04-08,10355.375570189552,10125.440472108976
2022-04-11,10355.375570189552,10087.92338512408
2022-04-12,10355.375570189552,10203.466207403351
2022-04-13,10355.375570189552,10076.415110707085
