Date,strategy_value,benchmark_value
2022-01-25,9974.91204606007,9974.91204606007
2022-01-26,9925.656294398854,9925.656294398854
2022-01-27,10172.164038145604,10172.164038145604
2022-01-28,10355.375570189552,10355.375570189552
2022-01-31,10285.405065059611,10425.346075319494
2022-02-01,10185.49178922456,10526.618749707184
2022-02-02,10424.90150885487,10279.19084974179
2022-02-03,10375.881454000526,10327.525742775037
2022-02-04,10409.18052736585,10294.381856261343
2022-02-07,10323.535248858467,10379.08258739219
2022-02-08,10172.438882859806,10530.991950178388
2022-02-09,10355.193305364972,10341.795890666617
2022-02-10,10559.384473169679,10137.868902744616
2022-02-11,10593.906426845606,10104.725016230925
2022-02-14,10423.059904073867,10267.682575324798
2022-02-15,10411.37747887608,10279.19084974179
2022-02-16,10633.779245010097,10059.612777190914
2022-02-17,10702.633527360158,9994.476253050827
2022-02-18,10817.49042386629,9887.219051195312
2022-02-22,11009.378178608602,9711.833061465804
2022-02-23,10843.696745670959,9857.987584634177
2022-02-24,10604.441388359417,10075.494252079114
2022-02-25,10631.573136104624,10049.715829770537
2022-02-28,10793.49489062101,9896.65592050637
2022-03-01,10594.935464763223,10078.71690607235
2022-03-02,10647.682054712008,10028.540295783163
2022-03-03,10734.190423248489,9947.062218645553
2022-03-04,11050.625632769264,9653.830908862179
2022-03-07,11134.408169041464,9580.638452148329
2022-03-08,10835.885560171979,9837.503221424777
2022-03-09,10884.815579562139,9793.081450753414
2022-03-10,11023.216657465442,9668.561837272408
2022-03-11,11103.777886034062,9597.900863773822
2022-03-14,10859.60092604962,9808.962925641614
2022-03-15,10618.797897510543,10026.468890677223
2022-03-16,10485.946837379888,10151.909362786198
2022-03-17,10403.927375650885,10231.316034817868
2022-03-18,10406.969407258046,10228.324473493285
2022-03-21,10285.193380397377,10348.010105984435
2022-03-22,10417.650414681384,10214.74409156102
2022-03-23,10260.610963070476,10368.724859453163
2022-03-24,10210.50225952612,10419.361547851671
2022-03-25,10137.87456825317,10493.47486319349
2022-03-28,10012.460668083595,10623.287833364344
2022-03-29,10074.285539091923,10557.691231114935
2022-03-30,10229.34206714465,10395.19445253971
2022-03-31,10200.350957113915,10424.655606950846
2022-04-01,10112.968860812909,10513.95922640289
2022-04-04,10240.709055168916,10381.153992498128
2022-04-05,10343.109556179352,10277.34913248585
2022-04-06,10290.99095662279,10329.136367362325
2022-04-07,10318.508395436864,10301.516930207134
2022-04-08,10494.87527649271,10125.440472108976
2022-04-11,10533.761204441065,10087.92338512408
2022-04-12,10413.111943705027,10203.466207403351
2022-04-13,10542.773498472445,10076.415110707085
