Date,strategy_value,benchmark_value
2022-02-04,9967.907234182514,9967.907234182514
2022-02-07,10049.921777879103,10049.921777879103
2022-02-08,10197.0135078537,10197.0135078537
2022-02-09,10013.817586367733,10013.817586367735
2022-02-10,9816.357911125904,9816.357911125904
2022-02-11,9784.26514530842,9784.26514530842
2022-02-14,9784.26514530842,9942.054690599918
2022-02-15,9795.231593427048,9953.197993171732
2022-02-16,9585.991575908725,9740.583589664204
2022-02-17,9523.921774066392,9677.512796366347
2022-02-18,9421.714397280104,9573.657134781044
2022-02-22,9254.585835046422,9403.833312407902
2022-02-23,9393.859190681907,9545.352710963378
2022-02-24,9601.125327859543,9755.961401623967
2022-02-25,9576.560591168034,9731.000512684415
2022-02-28,9430.706965058045,9582.79472450592
2022-03-01,9604.19625461542,9759.081852808016
2022-03-02,9556.382032120653,9710.496536693661
2022-03-03,9478.74006136475,9631.602444181126
2022-03-04,9199.314508151654,9347.670632160698
2022-03-07,9129.568058758503,9276.799391035926
2022-03-08,9374.339261086963,9525.51798605482
2022-03-09,9332.008931990385,9482.505001359585
2022-03-10,9213.351883026156,9361.93438591656
2022-03-11,9146.017730936446,9293.514344893647
2022-03-14,9347.142683941203,9497.882813319347
2022-03-15,9554.408151779964,9708.49082384672
2022-03-16,9673.942704008567,9829.953093932787
2022-03-17,9749.610794423783,9906.841473598384
2022-03-18,9746.760080157594,9903.944786241611
2022-03-21,9860.81073898801,10019.834724908558
2022-03-22,9733.819082359401,9890.79509068964
2022-03-23,9880.550211733766,10039.892533511184
2022-03-24,9928.802851191283,10088.923336880456
2022-03-25,9999.426803848808,10160.68623264827
2022-03-28,10123.127990570725,10286.38233198907
2022-03-29,10060.619771765641,10222.866051436298
2022-03-30,9905.773577877711,10065.522673532927
2022-03-31,9933.847658287847,10094.049500911446
2022-04-01,10018.94673344375,10180.52095755683
2022-04-04,9892.394163116769,10051.927490726042
2022-04-05,9793.476586898298,9951.414683885643
2022-04-06,9842.825603432128,10001.559545458811
2022-04-07,9816.506529550741,9974.816027366382
2022-04-08,9648.720007203498,9804.323634044258
2022-04-11,9612.969279242547,9767.996358838825
2022-04-12,9723.072177391587,9879.874871811891
2022-04-13,9602.002831123918,9756.853056267011
2022-04-14,9605.950591805295,9760.864481960894
2022-04-18,9761.016328844036,9918.430943558327
2022-04-19,9753.77809825597,9911.075982986331
2022-04-20,9607.924472145984,9762.870194807834
2022-04-21,9344.291300336141,9494.985445829361
2022-04-22,9398.465580815722,9550.033387739455
2022-04-25,9126.278258190689,9273.456536291023
2022-04-26,9151.939371958511,9299.53148343447
2022-04-27,9383.112285714093,9534.432492085629
2022-04-28,9036.353249750158,9182.081319175499
2022-04-29,9090.747073380551,9237.352344779656
2022-05-02,9132.419442363567,9279.69675852591
2022-05-03,9410.528406010664,9562.290748515166
2022-05-04,9076.051738392485,9222.420020074811
2022-05-05,9021.877457912904,9167.372078164715
2022-05-06,8733.021589297989,8873.857869297712
2022-05-09,8753.199479006496,8894.361165155251
2022-05-10,8614.144997182948,8753.064170160624
2022-05-11,8605.152429405007,8743.92658043575
2022-05-12,8810.883103204704,8952.97504550431
2022-05-13,8775.132375243755,8916.647770298881
2022-05-16,8955.640352238379,9100.06677547891
2022-05-17,8594.624398249129,8733.22876511885
2022-05-18,8541.985581147486,8679.74104880078
2022-05-19,8545.714468016924,8683.530070933813
2022-05-20,8705.605469001417,8845.999612868174
2022-05-23,8639.148820176082,8778.471226488304
2022-05-24,8715.474870704858,8856.028177102879
2022-05-25,8889.622120375794,9032.983876353957
2022-05-26,9107.854705672058,9254.735869586359
2022-05-27,9056.75068260948,9202.807698727103
2022-05-31,8983.494889497702,9128.370519163365
2022-06-01,9154.571881751637,9302.206447363606
2022-06-02,9004.331408658647,9149.543066103099
2022-06-03,9031.747528955219,9177.401322532636
2022-06-06,9118.382067489061,9265.433004770046
2022-06-07,9019.245617458651,9164.697794368794
2022-06-08,8804.741919031829,8946.734823269426
2022-06-09,8549.442685547487,8687.31841293363
2022-06-10,8224.836088971624,8357.476928861193
2022-06-13,8200.051809129303,8332.292956227577
2022-06-14,8316.954520903657,8451.080942517725
2022-06-15,8041.696271522748,8171.383639885241
2022-06-16,8024.36909608043,8153.777031384474
2022-06-17,8226.371552349561,8359.037154453217
2022-06-21,8211.457343549557,8343.882426187522
2022-06-22,8291.950697910523,8425.673886190043
2022-06-23,8555.583869720365,8693.558635168518
2022-06-24,8522.90406851529,8660.351811147139
2022-06-27,8348.756818844355,8483.39611189606
2022-06-28,8341.957674557916,8476.487318712192
2022-06-29,8274.185105505454,8407.621790434361
2022-06-30,8361.697147303672,8496.545127314816
2022-07-01,8377.488859368053,8512.591510223558
2022-07-05,8405.782482929,8541.34142129614
2022-07-06,8531.67709314242,8669.266317177948
2022-07-07,8524.659075044041,8662.135120433228
2022-07-08,8427.276962203508,8563.182539184854
2022-07-11,8352.704579525733,8487.407537589941
2022-07-12,8308.838787051216,8442.834327302682
2022-07-13,8288.66089734271,8422.331031445141
2022-07-14,8447.016434949264,8583.240347787478
2022-07-15,8377.269985556117,8512.369106662707
2022-07-18,8603.61696602707,8742.366354843723
2022-07-19,8658.449206620215,8798.082867702798
2022-07-20,8746.61987787087,8887.675455665447
2022-07-21,8665.467894057467,8805.214744580731
2022-07-22,8675.995925213343,8815.91255989763
2022-07-25,8573.350131464309,8711.611411057414
2022-07-26,8795.9688944047,8937.820317238615
2022-07-27,8906.291335704549,9049.921913905742
2022-07-28,9036.133706599347,9181.858235481433
2022-07-29,9009.375546416337,9154.668550000877
2022-08-01,8949.937585028252,9094.27204049894
2022-08-02,9090.089113266991,9236.683773830677
2022-08-03,9083.947929094113,9230.443551595788
2022-08-04,9068.594633992481,9214.842655941962
2022-08-05,9058.066602836603,9204.144840625062
2022-08-08,9022.097001063716,9167.59516185878
2022-08-09,9211.596876497408,9360.151076630473
2022-08-10,9211.596876497408,9360.151076630473
2022-08-11,9367.540116800525,9518.609192870952
2022-08-12,9406.141559027663,9557.833155433154
2022-08-15,9424.56578088517,9576.554502271032
2022-08-16,9357.670045758208,9508.579948503031
2022-08-17,9384.867292242841,9536.21580137172
2022-08-18,9258.75313887861,9408.067821795847
2022-08-19,9065.96279353823,9212.168372146041
2022-08-22,9044.029897300974,9189.881767002411
2022-08-23,9072.981480975483,9219.300249023974
2022-08-24,9201.069514680403,9349.453941446785
2022-08-25,8889.622120375794,9032.983876353957
2022-08-26,8830.842119101273,8973.255937801001
2022-08-29,8733.89842322349,8874.748843807543
2022-08-30,8667.441774398156,8807.220457427673
2022-08-31,8694.639020882789,8834.856310296358
2022-09-01,8602.959005913506,8741.697783894744
2022-09-02,8570.498747859245,8708.714043567428
2022-09-06,8724.4674384828,8865.165766827753
2022-09-07,8781.493102567443,8923.111076227833
2022-09-08,8917.915743936741,9061.73378742654
2022-09-09,9013.762393399338,9159.126143082887
2022-09-12,8621.821644733764,8760.864617987536
2022-09-13,8654.72098908965,8794.29452570298
2022-09-14,8556.46137298474,8694.450289811562
2022-09-15,8456.447419689955,8592.823424767268
2022-09-16,8522.026565250915,8659.46015650409
2022-09-19,8424.206035447633,8560.062088000803
2022-09-20,8277.25603226133,8410.74224161841
2022-09-21,8207.728456680119,8340.09340405449
2022-09-22,8070.209438234509,8200.35663465189
2022-09-23,7990.37337464823,8119.233065465133
2022-09-26,7969.97594178891,8098.5066859135295
2022-09-27,8126.796016017528,8257.855776663839
2022-09-28,7957.035613329594,8085.357670494773
2022-09-29,7833.991717382363,7960.329461969738
2022-09-30,8040.818768258373,8170.491985242196
2022-10-03,8289.976817569835,8423.668173343103
2022-10-04,8270.675761786828,8404.055851995394
2022-10-05,8185.3571434801115,8317.361311655946
2022-10-06,7957.035613329594,8085.357670494773
2022-10-07,7896.28106237551,8023.623338961662
2022-10-10,7846.274085728118,7972.809906439514
2022-10-11,7820.393428809482,7946.511875602
2022-10-12,8026.782062722743,8156.228911619544
2022-10-13,7843.861788424679,7970.358706337657
2022-10-14,8045.425158392185,8175.172662018271
2022-10-17,8139.955887627657,8271.22787577666
2022-10-18,8082.27226342945,8212.613995427599
2022-10-19,8014.499694376988,8143.748467149769
2022-10-20,8209.263920058056,8341.653629646516
2022-10-21,8209.263920058056,8443.725981945727
2022-10-24,8340.354261527566,8578.560351144615
2022-10-25,8277.517230101292,8513.928652121518
2022-10-26,8233.315476905174,8468.464467324427
2022-10-27,8429.191546307387,8669.934888126927
2022-10-28,8368.305195130173,8607.309582083984
2022-10-31,8331.686628746325,8569.645164980593
2022-11-01,8122.592882226002,8354.579561371207
2022-11-02,8038.955648116889,8268.553591980739
2022-11-03,8154.661404272977,8387.563981831736
2022-11-04,8232.665470571335,8467.795896375448
2022-11-07,8277.084112961245,8513.483164866602
2022-11-08,8106.558951826285,8338.08769120755
2022-11-09,8552.048033383246,8796.300238549924
2022-11-10,8634.819033212267,8881.435233430559
2022-11-11,8561.36501125078,8805.883315529712
2022-11-14,8634.38525482468,8880.98906604243
2022-11-15,8568.51574217055,8813.23827610171
2022-11-16,8542.29727712812,8786.270994182003
2022-11-17,8581.082751707278,8826.1642078264
2022-11-18,8549.881125187934,8794.071442008915
2022-11-21,8664.936875010184,8912.413260910935
2022-11-22,8719.540052042805,8968.575941158138
2022-11-23,8717.589371793747,8966.569548177982
2022-11-25,8578.482726371922,8823.489924030479
2022-11-28,8563.748808639883,8808.335195764783
2022-11-29,8833.51201714363,9085.803021723046
2022-11-30,8827.011953805242,9079.117312233242
2022-12-01,8816.828080410074,9068.642580610407
2022-12-02,8658.219922478003,8905.504467727065
2022-12-05,8533.41341640063,8777.133404457129
2022-12-06,8518.896387862385,8762.201759885498
2022-12-07,8585.632796044149,8830.844204469262
2022-12-08,8521.49641319774,8764.87604368142
2022-12-09,8644.352900273598,8891.241394104416
2022-12-12,8709.789295787683,8958.54669679022
2022-12-13,8654.102995281177,8901.269958339119
2022-12-14,8442.409223425499,8683.530070933813
2022-12-15,8304.601929423809,8541.786908551056
2022-12-16,8234.181711185263,8469.35544183426
2022-12-19,8245.449369301858,8480.944911794202
2022-12-20,8368.73897351776,8607.755749472113
2022-12-21,8249.34940730489,8484.956337488084
2022-12-22,8296.801853417744,8533.764057163291
2022-12-23,8264.08332503693,8500.111065753781
2022-12-27,8161.378356805158,8394.472775015605
2022-12-28,8308.28573948059,8545.575930684086
2022-12-29,8286.401090828784,8523.066241846393
2022-12-30,8251.5163155002,8487.185134029089
2023-01-03,8315.219581206564,8552.70780756202
2023-01-04,8220.314688980858,8455.092368211606
2023-01-05,8408.823799517051,8648.985424881259
2023-01-06,8404.056865986387,8644.082344544331
2023-01-09,8462.993198162085,8704.701937740332
2023-01-10,8570.031982784476,8814.79782156052
2023-01-11,8601.23360930382,8846.890587378004
2023-01-12,8634.602144018472,8881.212149736495
2023-01-13,8618.784441565007,8864.942683133688
2023-01-17,8482.710938618584,8724.98283003702
2023-01-18,8420.958353161277,8661.466549484247
2023-01-19,8577.832720038085,8822.8213530815
2023-01-20,8680.75457746365,8928.68272751374
2023-01-23,8671.437599596115,8919.099650533952
2023-01-24,8674.687631265308,8922.442505278852
2023-01-25,8770.025640631058,9020.50343188418
2023-01-26,8790.176498227602,9041.229811435787
2023-01-27,8679.887681936016,8927.791072870696
2023-01-30,8807.511102542538,9059.059503630617
2023-01-31,8901.115320853023,9155.337120949856
2023-02-01,9030.688760461062,9288.61126455672
2023-02-02,8934.700744761472,9189.881767002411
2023-02-03,8880.09756772885,9133.719086755207
2023-02-06,8996.237102272527,9253.175643994336
2023-02-07,8897.865289183832,9151.994266204954
2023-02-08,8820.728118413106,9072.654006304288
2023-02-09,8841.312754397235,9093.826553244024
2023-02-10,8945.10084610289,9200.578902186096
2023-02-13,8940.984580153607,9196.345072931363
2023-02-14,8970.01929847764,9226.209042207842
2023-02-15,8846.512805067945,9099.175120835866
2023-02-16,8824.411928469886,9076.443028437321
2023-02-17,8647.386042748996,8894.361165155251
2023-02-21,8635.469039546106,8882.10380437954
2023-02-22,8681.404583797488,8929.351298462721
2023-02-23,8588.66659976709,8833.964655653313
2023-02-24,8617.918207284918,8864.051708623856
2023-02-27,8586.066574431736,8831.290371857393
2023-02-28,8553.131156857127,8797.41429675382
2023-03-01,8619.65133709264,8865.834337776734
2023-03-02,8757.891748234375,9008.022987414406
2023-03-03,8763.958694432717,9014.263209649294
2023-03-06,8629.618321294014,8876.085985705504
2023-03-07,8643.702893939757,8890.572823155433
2023-03-08,8484.227840480055,8726.543055629047
2023-03-09,8361.805131791785,8600.62387259418
2023-03-10,8349.887467341352,8588.365831685256
2023-03-13,8487.911650536835,8730.332077762077
2023-03-14,8434.825375365685,8675.7296231069
2023-03-15,8582.815881515,8827.946836979278
2023-03-16,8450.209299431563,8691.552922321576
2023-03-17,8531.463397399115,8775.127691610189
2023-03-20,8643.486004745964,8890.349739461368
2023-03-21,8496.144843682945,8738.800416404758
2023-03-22,8519.113277056178,8762.424843579562
2023-03-23,8575.015805508936,8819.923985591513
2023-03-24,8591.049735908651,8836.415855755171
2023-03-27,8571.765773839741,8816.58113084661
2023-03-28,8696.35539072332,8944.729110422482
2023-03-29,8747.274757699162,8997.102768536657
2023-03-30,8870.564361915063,9123.913606214566
2023-03-31,8904.366013769763,9158.680655827973
2023-04-03,8854.96354865539,9107.867223305824
2023-04-04,8831.778887335906,9084.02039257017
2023-04-05,8866.230545524444,9119.456013132556
2023-04-06,8875.330634198186,9128.81600641828
2023-04-10,8877.714431587288,9131.26788665335
2023-04-11,8841.528982343487,9094.048956804872
2023-04-12,8958.96852955484,9214.842655941962
2023-04-13,8937.083880903032,9192.332967104268
2023-04-14,8969.152402950009,9225.317387564797
2023-04-17,8975.002459954558,9231.33452610562
2023-04-18,8973.486219340628,9229.77498064681
2023-04-19,8924.516871366304,9179.407035379576
2023-04-20,8931.45071309228,9186.53891225751
2023-04-21,8940.767690959814,9196.1219892373
2023-04-24,8798.8434697613,9050.144317466595
2023-04-25,8761.574897043613,9011.811329414224
2023-04-26,8936.000757429149,9191.218908900371
2023-04-27,9012.271032672243,9269.667514157993
2023-04-28,9003.1709439985,9260.307520872268
2023-05-01,8901.982216380657,9156.228775592901
2023-05-02,8840.878976009648,9093.380385855893
2023-05-03,8778.259495024711,9028.972450660076
2023-05-04,8940.767690959814,9196.1219892373
2023-05-05,8943.150827101375,9198.573189339155
2023-05-08,8903.932235382175,9158.234488439844
2023-05-09,8945.534624490478,9201.025069574225
2023-05-10,8929.933811230807,9184.978686665483
2023-05-11,8918.233035974168,9172.943729450624
2023-05-12,8949.001545353465,9204.591008013193
2023-05-15,8889.198317650134,9143.079760174145
2023-05-16,8997.103997800157,9254.06729863738
2023-05-17,9083.775035632212,9343.213719211899
2023-05-18,9070.557358514103,9329.618536405012
2023-05-19,9074.241168570883,9333.407558538043
2023-05-22,8972.402434619202,9228.6602423097
2023-05-23,8907.399156245161,9161.800426878808
2023-05-24,8984.536327015887,9241.140686779474
2023-05-25,9100.892089505813,9360.819647579452
2023-05-26,9104.359010368802,9364.38558601842
2023-05-30,9053.873421780547,9312.458095292375
2023-05-31,9139.894453278763,9400.935944917914
2023-06-01,9272.067918222156,9536.8843723207
2023-06-02,9254.300196767173,9518.609192870952
2023-06-05,9274.451054363717,9539.335572422557
2023-06-06,9242.38253231674,9506.351151962026
2023-06-07,9298.28572201704,9563.85097410719
2023-06-08,9314.969658750595,9581.01141521983
2023-06-09,9399.47378838734,9667.929039253342
2023-06-12,9461.443924285983,9731.669083633395
2023-06-13,9472.710921155036,9743.257873460127
2023-06-14,9590.150468366386,9864.051572597215
2023-06-15,9522.113386269404,9794.071305982274
2023-06-16,9472.710921155036,9743.257873460127
2023-06-20,9424.175351568298,9693.336095581024
2023-06-21,9458.193892616788,9728.326228888494
2023-06-22,9386.689889656818,9654.780023834586
2023-06-23,9348.33819346525,9615.33297757832
2023-06-26,9450.826933750768,9720.748864755646
2023-06-27,9455.593867281434,9725.651945092573
2023-06-28,9492.861778751576,9763.984253011731
2023-06-29,9604.884386098427,9879.20630086291
2023-06-30,9615.935155021227,9890.57268712879
2023-07-03,9601.634354429232,9875.86344611801
2023-07-05,9526.447202660023,9798.528899064286
2023-07-06,9502.395645812905,9773.790413685583
2023-07-07,9526.447202660023,9798.528899064286
2023-07-10,9587.116664643445,9860.931121413163
2023-07-11,9664.25383541417,9940.271381313829
2023-07-12,9740.95788904485,10019.166153959577
2023-07-13,9734.890942846509,10012.92593172469
2023-07-14,9768.692594701206,10047.692981338098
2023-07-17,9841.279721135063,10122.353244595899
2023-07-18,9863.16436978687,10144.862933433595
2023-07-19,9797.727313025242,10077.556950614575
2023-07-20,9797.727313025242,10077.556950614575
2023-07-21,9841.496610328855,10122.576328289964
2023-07-24,9868.36442045758,10150.211501025437
2023-07-25,9869.88132231905,10151.77172661746
2023-07-26,9804.44426555742,10084.465743798442
2023-07-27,9900.432942504554,10183.195921485963
2023-07-28,9919.283787433418,10202.585159139608
2023-07-31,9890.899075443225,10173.38976081211
2023-08-01,9753.308670635328,10031.869682123417
2023-08-02,9725.35707578518,10003.119771050837
2023-08-03,9681.371550535314,9957.877989814595
2023-08-04,9765.875680172057,10044.79561384811
2023-08-07,9723.407056783662,10001.114058203895
2023-08-08,9658.403778409622,9934.254242773006
2023-08-09,9661.87069927261,9937.820181211971
2023-08-10,9656.236870214312,9932.025446231999
2023-08-11,9709.539373331714,9986.85030444803
2023-08-14,9596.434303758522,9870.514878526166
2023-08-15,9526.014085519979,9798.08341180937
2023-08-16,9453.426959086124,9723.423148551567
2023-08-17,9457.977003422995,9728.103145194429
2023-08-18,9519.513360934048,9791.397022186353
2023-08-21,9493.72867427921,9764.875907654776
2023-08-22,9599.467446233923,9873.634649577003
2023-08-23,9466.42774701044,9736.795247664388
2023-08-24,9533.164155192204,9805.437692248153
2023-08-25,9593.617389229374,9867.61751103618
2023-08-28,9732.290917511154,10010.25164792877
2023-08-29,9772.376404757988,10051.482003471127
2023-08-30,9758.075604165993,10036.772762460345
2023-08-31,9776.276442761022,10055.49342916501
2023-09-01,9734.024047318877,10012.034277081644
2023-09-05,9668.58765180479,9944.72897439584
2023-09-06,9638.902927146917,9914.19643417038
2023-09-07,9653.419955685164,9929.128078742013
2023-09-08,9716.906993445276,9994.428348714093
2023-09-11,9663.603829080332,9939.602810364848
2023-09-12,9674.871487196926,9951.192280324793
2023-09-13,9758.291832112245,10036.995166021197
2023-09-14,9606.834405099942,9881.212013709852
2023-09-15,9612.46823415824,9887.006748689824
2023-09-18,9592.533604507948,9866.50277269907
2023-09-19,9504.346326061965,9775.79680666574
2023-09-20,9347.255069991365,9614.218919374423
2023-09-21,9326.23731686719,9592.600885179774
2023-09-22,9365.455908586391,9632.939586079086
2023-09-25,9227.865503778496,9491.419507390394
2023-09-26,9231.548652587733,9495.20784939021
2023-09-27,9285.06804489893,9550.255791300306
2023-09-28,9262.534051160826,9527.078211646844
2023-09-29,9258.850241104044,9523.289189513815
2023-10-02,9134.910630554305,9395.809780886922
2023-10-03,9201.430810789818,9464.229821909837
2023-10-04,9197.96388992683,9460.663883470872
2023-10-05,9307.169582744531,9572.988563832065
2023-10-06,9366.75592125407,9634.276727977047
2023-10-09,9415.5083800346,9684.421589550215
2023-10-10,9454.076965419961,9724.091719500546
2023-10-11,9396.44064591194,9664.809268202505
2023-10-12,9349.638206132926,9616.670119476279
2023-10-13,9448.01001922162,9717.85149726566
2023-10-16,9447.576240834032,9717.40532987753
2023-10-17,9321.686611282777,9587.920208403697
2023-10-18,9239.782506981388,9503.676868166107
2023-10-19,9126.243659020609,9386.895274856113
2023-10-20,9110.425956567142,9370.625808253306
2023-10-23,9179.113044997965,9441.274645817228
2023-10-24,9047.372697194616,9305.771705669356
2023-10-25,8939.033899904547,9194.338679951206
2023-10-26,8898.51529551767,9152.662837153937
2023-10-27,9004.904073806223,9262.090150025142
2023-10-30,9061.45726984036,9320.25854311929
2023-10-31,9158.09529187379,9419.656611622579
2023-11-01,9333.604275733209,9600.178249312621
2023-11-02,9418.758411703795,9687.764444295117
2023-11-03,9440.42617116181,9710.051049438747
2023-11-06,9467.293981290532,9737.68622217422
2023-11-07,9474.227823016505,9744.818099052152
2023-11-08,9400.340683914974,9668.820693896389
2023-11-09,9547.031177396611,9819.700765870806
2023-11-10,9537.93108872287,9810.340772585081
2023-11-13,9722.973939643618,10000.66857094898
2023-11-14,9743.557914380206,10021.8404377555
2023-11-15,9755.47557883064,10034.098478664424
2023-11-16,9767.609471227323,10046.578923134199
2023-11-17,9842.796622996531,10123.913470187925
2023-11-20,9821.34509148477,10101.849268605145
2023-11-21,9859.263670536295,10140.850827606499
