Date,strategy_value,benchmark_value
2022-01-26,9950.620364937784,9950.620364937784
2022-01-27,10197.748101612031,10197.74810161203
2022-01-28,10014.07577327675,10381.420429947308
2022-01-31,9946.411405575516,10451.566918264043
2022-02-01,9849.791142197644,10553.094304089656
2022-02-02,10081.310226849539,10305.044096907006
2022-02-03,10033.905809656333,10353.500557284857
2022-02-04,10066.107388594735,10320.273310407241
2022-02-07,9983.284867790633,10405.187072794051
2022-02-08,9837.16844275887,10557.47850362045
2022-02-09,10013.899515665253,10367.806596100725
2022-02-10,9816.438224882459,10163.366710334965
2022-02-11,9784.345196494009,10130.139463457353
2022-02-14,9626.554360227665,10293.506877968277
2022-02-15,9615.764678285816,10305.044096907006
2022-02-16,9821.171028359939,10084.913762386806
2022-02-17,9757.578427139424,10019.61341303103
2022-02-18,9652.863529381655,9912.086448020971
2022-02-22,9481.634691924086,9736.259344062912
2022-02-23,9624.324932631924,9882.781461243987
2022-02-24,9836.676066626747,10100.83518085633
2022-02-25,9861.843466201795,10074.991923101732
2022-02-28,9711.644904204371,9921.547052051843
2022-03-01,9890.302387795637,10104.065940163633
2022-03-02,9841.063793917121,10053.76313041705
2022-03-03,9761.108892080203,9972.080127337547
2022-03-04,10048.858448929013,9678.111309939108
2022-03-07,9972.671011631799,9604.734766491027
2022-03-08,10240.046495141283,9862.245577704549
2022-03-09,10286.285971442605,9817.712081603291
2022-03-10,10417.07670975721,9692.87928818514
2022-03-11,10340.945347750161,9622.04059489912
2022-03-14,10568.347284667036,9833.633500072812
2022-03-15,10802.69199494971,10051.686515509193
2022-03-16,10937.843741658298,10177.442483611714
2022-03-17,10852.289611918794,10257.048871783358
2022-03-18,10855.46274133594,10254.049786367097
2022-03-21,10728.438718237345,10374.036440824293
2022-03-22,10866.60405189299,10240.435248344555
2022-03-23,11030.411193931199,10394.803294078809
2022-03-24,10976.543095191428,10445.567339079598
2022-03-25,10898.466526292183,10519.867057212045
2022-03-28,10763.64347401157,10650.006520669398
2022-03-29,10830.106743273813,10584.244936059415
2022-03-30,10996.796355508472,10421.339460978652
2022-03-31,11027.96251761699,10450.874713294757
2022-04-01,10933.490622799856,10540.40294075148
2022-04-04,11071.595094035594,10407.263687701905
2022-04-05,10960.886267282853,10303.19774753827
2022-04-06,11016.117824006355,10355.115232762546
2022-04-07,11045.574204783328,10327.426329815176
2022-04-08,10856.780108067755,10150.907020887831
2022-04-11,10816.553239437966,10113.295574479424
2022-04-12,10940.441480942814,10229.128999120907
2022-04-13,11076.669215738131,10101.758355540695
2022-04-14,11081.223269718283,10105.911585356407
2022-04-18,10902.342685523357,10269.04803015225
2022-04-19,10894.258110347027,10261.433071314152
2022-04-20,11057.165963403106,10107.988200264264
2022-04-21,11360.565073440937,9830.633710480588
2022-04-22,11426.42886331155,9887.627600204944
2022-04-25,11095.510049732173,9601.2737416446
2022-04-26,11126.70821591154,9628.270439622685
2022-04-27,11407.762695649639,9871.47521202034
2022-04-28,11829.34400837372,9506.668405511839
2022-04-29,11900.550083863578,9563.893264951275
2022-05-02,11955.102708658053,9607.73455608325
2022-05-03,11591.034758693308,9900.31825936716
2022-05-04,11179.056757770642,9548.433081735957
2022-05-05,11112.329796119377,9491.439192011603
2022-05-06,11468.116237529988,9187.549239504046
2022-05-09,11494.61363963063,9208.777328012768
2022-05-10,11312.00869074831,9062.485476370812
2022-05-11,11300.199741062708,9053.02487233994
2022-05-12,11570.363195559554,9269.46321229863
2022-05-13,11617.31069244138,9231.851765890224
2022-05-16,11378.337972539548,9421.754643125034
2022-05-17,11837.0166796341,9041.948888655415
2022-05-18,11764.519438666211,8986.570378584713
2022-05-19,11759.383798756338,8990.493342861304
2022-05-20,11979.402809873649,9158.706192157226
2022-05-23,12070.850896799684,9088.790673555573
2022-05-24,11964.206087843184,9169.089266696505
2022-05-25,11725.144692382395,9352.300359777582
2022-05-26,11437.302464159178,9581.891298328652
2022-05-27,11373.12794800906,9528.127463735644
2022-05-31,11281.136069553919,9451.058925726054
2022-06-01,11066.303996766424,9631.039963675787
2022-06-02,11247.918906708768,9472.979923380022
2022-06-03,11213.671577969193,9501.822970726842
2022-06-06,11106.107536867192,9592.966577837216
2022-06-07,10985.360230304266,9488.670372134462
2022-06-08,11246.623810197236,9263.002397859982
2022-06-09,11572.727001458723,8994.415602961935
2022-06-10,11133.331866218447,8652.91420404597
2022-06-13,11099.783281229651,8626.83997657629
2022-06-14,10941.541016926058,8749.82712480167
2022-06-15,10579.419351083252,8460.24250693402
2022-06-16,10556.624228140941,8442.013503841561
2022-06-17,10290.875731472668,8654.529583699625
2022-06-21,10309.532835448268,8638.839134945183
2022-06-22,10410.592713750095,8723.521927616908
2022-06-23,10741.585706537422,9000.876417400583
2022-06-24,10700.556024535324,8966.49573029948
2022-06-27,10919.198917455651,8783.284637218403
2022-06-28,10910.30643076056,8776.131617810468
2022-06-29,10821.667825194701,8704.831689270246
2022-06-30,10936.123355856535,8796.898471064987
2022-07-01,10915.46964069634,8813.512094503794
2022-07-05,10878.604394536154,8843.278316534981
2022-07-06,10715.673975780077,8975.72536461527
2022-07-07,10724.48851400947,8968.342079668215
2022-07-08,10847.000551316121,8865.891519158233
