Date,strategy_value,benchmark_value
2022-01-26,9950.620364937784,9950.620364937784
2022-01-27,9703.492628263537,10197.74810161203
2022-01-28,9528.72236856908,10381.420429947308
2022-01-31,9464.337497846373,10451.566918264043
2022-02-01,9372.40014029585,10553.094304089656
2022-02-02,9592.698161862674,10305.044096907006
2022-02-03,9547.591300210672,10353.500557284857
2022-02-04,9578.232161382544,10320.273310407241
2022-02-07,9499.423809571052,10405.187072794051
2022-02-08,9360.389226736062,10557.47850362045
2022-02-09,9528.554653656258,10367.806596100725
2022-02-10,9340.6637428016,10163.366710334965
2022-02-11,9310.126171047228,10130.139463457353
2022-02-14,9159.983002059169,10293.506877968277
2022-02-15,9149.716264918692,10305.044096907006
2022-02-16,9345.167160928539,10084.913762386806
2022-02-17,9284.65670989496,10019.61341303103
2022-02-18,9185.017041574336,9912.086448020971
2022-02-22,9022.087172601301,9736.259344062912
2022-02-23,9157.861628396573,9882.781461243987
2022-02-24,9359.920714656651,10100.83518085633
2022-02-25,9383.86832287522,10074.991923101732
2022-02-28,9240.949452493689,9921.547052051843
2022-03-01,9410.947922522373,10104.065940163633
2022-03-02,9364.095781445196,10053.76313041705
2022-03-03,9440.175499519955,9972.080127337547
2022-03-04,9718.46420079301,9678.111309939108
2022-03-07,9644.78171380345,9604.734766491027
2022-03-08,9903.366216497245,9862.245577704549
2022-03-09,9948.085395036944,9817.712081603291
2022-03-10,10074.575892894563,9692.87928818514
2022-03-11,10148.20414828132,9622.04059489912
2022-03-14,10371.367621439906,9833.633500072812
2022-03-15,10141.390778797002,10051.686515509193
2022-03-16,10268.269030852098,10177.442483611714
2022-03-17,10187.952211411737,10257.048871783358
2022-03-18,10190.931093474284,10254.049786367097
2022-03-21,10071.68301557481,10374.036440824293
2022-03-22,10201.390373827719,10240.435248344555
2022-03-23,10355.169842921536,10394.803294078809
2022-03-24,10304.599351780418,10445.567339079598
2022-03-25,10231.302344308106,10519.867057212045
2022-03-28,10104.732665212647,10650.006520669398
2022-03-29,10042.338033731909,10584.244936059415
2022-03-30,9887.77321987984,10421.339460978652
2022-03-31,9915.796285243661,10450.874713294757
2022-04-01,9830.85184857268,10540.40294075148
2022-04-04,9955.028531315957,10407.263687701905
2022-04-05,9855.484651718538,10303.19774753827
2022-04-06,9905.146124915625,10355.115232762546
2022-04-07,9931.631839807967,10327.426329815176
2022-04-08,10101.386116710673,10150.907020887831
2022-04-11,10063.958156647845,10113.295574479424
2022-04-12,9948.689821993925,10229.128999120907
2022-04-13,10072.56850467709,10101.758355540695
2022-04-14,10076.709733398076,10105.911585356407
2022-04-18,9914.044684603445,10269.04803015225
2022-04-19,9906.692976638826,10261.433071314152
2022-04-20,10054.833223304833,10107.988200264264
2022-04-21,10330.729186305338,9830.633710480588
2022-04-22,10390.622419779062,9887.627600204944
2022-04-25,10089.701415969648,9601.2737416446
2022-04-26,10061.331365375785,9628.270439622685
2022-04-27,10315.475016624272,9871.47521202034
2022-04-28,10696.690125572792,9506.668405511839
2022-04-29,10761.078254283393,9563.893264951275
2022-05-02,10810.407492028959,9607.73455608325
2022-05-03,10481.198869583899,9900.31825936716
2022-05-04,10108.667560045245,9548.433081735957
2022-05-05,10048.3296722216,9491.439192011603
2022-05-06,10370.049736491908,9187.549239504046
2022-05-09,10346.089447637123,9208.777328012768
2022-05-10,10181.730105605475,9062.485476370812
2022-05-11,10171.101088088206,9053.02487233994
2022-05-12,9927.931952235735,9269.46321229863
2022-05-13,9968.21517813736,9231.851765890224
2022-05-16,9763.165011472185,9421.754643125034
2022-05-17,10156.73355508729,9041.948888655415
2022-05-18,10094.527411434838,8986.570378584713
2022-05-19,10090.120783683,8990.493342861304
2022-05-20,10278.907750319377,9158.706192157226
2022-05-23,10357.374637556957,9088.790673555573
2022-05-24,10265.868226869206,9169.089266696505
2022-05-25,10060.74197228006,9352.300359777582
2022-05-26,9813.7594008188,9581.891298328652
2022-05-27,9868.824243524045,9528.127463735644
2022-05-31,9788.999969634262,9451.058925726054
2022-06-01,9602.58335866288,9631.039963675787
2022-06-02,9760.17638271201,9472.979923380022
2022-06-03,9730.458888133026,9501.822970726842
2022-06-06,9637.122154262492,9592.966577837216
2022-06-07,9741.898426172545,9488.670372134462
2022-06-08,9510.207957729435,9263.002397859982
2022-06-09,9785.962639037796,8994.415602961935
2022-06-10,9414.407656647361,8652.91420404597
2022-06-13,9386.038785658564,8626.83997657629
2022-06-14,9252.228242456731,8749.82712480167
2022-06-15,8946.016137714509,8460.24250693402
2022-06-16,8926.740454339484,8442.013503841561
2022-06-17,8702.022040136126,8654.529583699625
2022-06-21,8717.79859154314,8638.839134945183
2022-06-22,8803.255389516748,8723.521927616908
2022-06-23,8523.365864706235,9000.876417400583
2022-06-24,8555.92260265635,8966.49573029948
2022-06-27,8730.744515196024,8783.284637218403
2022-06-28,8723.634283939453,8776.131617810468
2022-06-29,8794.507708375528,8704.831689270246
2022-06-30,8887.52294991974,8796.898471064987
2022-07-01,8870.738175140381,8813.512094503794
