Date,strategy_value,benchmark_value
2022-01-26,9950.620364937784,9950.620364937784
2022-01-27,10197.74810161203,10197.74810161203
2022-01-28,10197.74810161203,10381.420429947308
2022-01-31,10197.74810161203,10451.566918264043
2022-02-01,10197.74810161203,10553.094304089656
2022-02-02,10197.74810161203,10305.044096907006
2022-02-03,10197.74810161203,10353.500557284857
2022-02-04,10197.74810161203,10320.273310407241
2022-02-07,10197.74810161203,10405.187072794051
2022-02-08,10197.74810161203,10557.47850362045
2022-02-09,10197.74810161203,10367.806596100725
2022-02-10,10197.74810161203,10163.366710334965
2022-02-11,10197.74810161203,10130.139463457353
2022-02-14,10197.74810161203,10293.506877968277
2022-02-15,10197.74810161203,10305.044096907006
2022-02-16,10197.74810161203,10084.913762386806
2022-02-17,10197.74810161203,10019.61341303103
2022-02-18,10088.309457813923,9912.086448020971
2022-02-22,10088.309457813923,9736.259344062912
2022-02-23,10088.309457813923,9882.781461243987
2022-02-24,10310.897947755073,10100.83518085633
2022-02-25,10310.897947755073,10074.991923101732
2022-02-28,10153.8601636975,9921.547052051843
2022-03-01,10340.65273318266,10104.065940163633
2022-03-02,10340.65273318266,10053.76313041705
2022-03-03,10340.65273318266,9972.080127337547
2022-03-04,10340.65273318266,9678.111309939108
2022-03-07,10340.65273318266,9604.734766491027
2022-03-08,10617.894108247934,9862.245577704549
2022-03-09,10617.894108247934,9817.712081603291
2022-03-10,10617.894108247934,9692.87928818514
2022-03-11,10617.894108247934,9622.04059489912
2022-03-14,10617.894108247934,9833.633500072812
2022-03-15,10617.894108247934,10051.686515509193
2022-03-16,10750.733861132441,10177.442483611714
2022-03-17,10750.733861132441,10257.048871783358
2022-03-18,10750.733861132441,10254.049786367097
2022-03-21,10750.733861132441,10374.036440824293
2022-03-22,10750.733861132441,10240.435248344555
2022-03-23,10750.733861132441,10394.803294078809
2022-03-24,10750.733861132441,10445.567339079598
2022-03-25,10750.733861132441,10519.867057212045
2022-03-28,10750.733861132441,10650.006520669398
2022-03-29,10684.3503060561,10584.244936059415
2022-03-30,10519.90407743496,10421.339460978652
2022-03-31,10549.718672999346,10450.874713294757
2022-04-01,10549.718672999346,10540.40294075148
2022-04-04,10549.718672999346,10407.263687701905
2022-04-05,10444.228274647583,10303.19774753827
2022-04-06,10496.8564082052,10355.115232762546
2022-04-07,10496.8564082052,10327.426329815176
2022-04-08,10317.44115217605,10150.907020887831
2022-04-11,10279.212658488888,10113.295574479424
2022-04-12,10396.946427474686,10229.128999120907
2022-04-13,10396.946427474686,10101.758355540695
2022-04-14,10401.221020706394,10105.911585356407
2022-04-18,10401.221020706394,10269.04803015225
2022-04-19,10393.508049678692,10261.433071314152
2022-04-20,10393.508049678692,10107.988200264264
2022-04-21,10108.319141157235,9830.633710480588
2022-04-22,10166.922934503282,9887.627600204944
2022-04-25,9872.480452474498,9601.2737416446
2022-04-26,9900.239724862908,9628.270439622685
