Date,strategy_value,benchmark_value
2022-01-26,9950.620364937784,9950.620364937784
2022-01-27,10197.748101612031,10197.74810161203
2022-01-28,10014.07577327675,10381.420429947308
2022-01-31,9946.411405575516,10451.566918264043
2022-02-01,9849.791142197644,10553.094304089656
2022-02-02,10081.310226849539,10305.044096907006
2022-02-03,10033.905809656333,10353.500557284857
2022-02-04,10066.107388594735,10320.273310407241
2022-02-07,9983.284867790633,10405.187072794051
2022-02-08,9837.16844275887,10557.47850362045
2022-02-09,10013.899515665253,10367.806596100725
2022-02-10,10211.360806448047,10163.366710334965
2022-02-11,10244.7449611423,10130.139463457353
2022-02-14,10079.52931898228,10293.506877968277
2022-02-15,10068.231931422233,10305.044096907006
2022-02-16,10283.303622746304,10084.913762386806
2022-02-17,10349.888556928026,10019.61341303103
2022-02-18,10238.817195305288,9912.086448020971
2022-02-22,10420.440063996666,9736.259344062912
2022-02-23,10263.621630327236,9882.781461243987
2022-02-24,10490.078208565163,10100.83518085633
2022-02-25,10516.917355047191,10074.991923101732
2022-02-28,10356.741839304372,9921.547052051843
2022-03-01,10547.266663210718,10104.065940163633
2022-03-02,10599.775935363921,10053.76313041705
2022-03-03,10685.895084894197,9972.080127337547
2022-03-04,11000.90658709207,9678.111309939108
2022-03-07,11084.31216844006,9604.734766491027
2022-03-08,11381.491662474304,9862.245577704549
2022-03-09,11432.885395329948,9817.712081603291
2022-03-10,11578.255213559078,9692.87928818514
2022-03-11,11662.87284321019,9622.04059489912
2022-03-14,11406.401139185738,9833.633500072812
2022-03-15,11153.473250053199,10051.686515509193
2022-03-16,11293.013597247855,10177.442483611714
2022-03-17,11204.681383580442,10257.048871783358
2022-03-18,11207.957549751767,10254.049786367097
2022-03-21,11076.808846779706,10374.036440824293
2022-03-22,11219.460637068029,10240.435248344555
2022-03-23,11050.334406518738,10394.803294078809
2022-03-24,10996.369010809343,10445.567339079598
2022-03-25,10918.15141941756,10519.867057212045
2022-03-28,10783.084848714554,10650.006520669398
2022-03-29,10716.501532989902,10584.244936059415
2022-03-30,10551.560454624665,10421.339460978652
2022-03-31,10581.464767935146,10450.874713294757
2022-04-01,10490.817830663582,10540.40294075148
2022-04-04,10623.330758082477,10407.263687701905
2022-04-05,10517.104286246706,10303.19774753827
2022-04-06,10570.099639705182,10355.115232762546
2022-04-07,10598.363396939078,10327.426329815176
2022-04-08,10417.213154580286,10150.907020887831
2022-04-11,10378.614982664987,10113.295574479424
2022-04-12,10497.487263972691,10229.128999120907
2022-04-13,10628.199439848288,10101.758355540695
2022-04-14,10632.569110280634,10105.911585356407
2022-04-18,10460.931004302081,10269.04803015225
2022-04-19,10453.173755648453,10261.433071314152
2022-04-20,10609.48583095512,10107.988200264264
2022-04-21,10318.370678146102,9830.633710480588
2022-04-22,10378.19226217464,9887.627600204944
2022-04-25,10077.63124599183,9601.2737416446
2022-04-26,10105.967357887328,9628.270439622685
2022-04-27,10361.238489555853,9871.47521202034
2022-04-28,10744.144817502176,9506.668405511839
2022-04-29,10808.818597080102,9563.893264951275
2022-05-02,10858.366678575729,9607.73455608325
2022-05-03,10527.697558203252,9900.31825936716
2022-05-04,10153.51355438995,9548.433081735957
2022-05-05,10092.907984148218,9491.439192011603
2022-05-06,10416.055324179366,9187.549239504046
2022-05-09,10440.121910226348,9208.777328012768
2022-05-10,10274.268756087333,9062.485476370812
2022-05-11,10263.543134660238,9053.02487233994
2022-05-12,10018.163908436363,9269.46321229863
2022-05-13,10058.813256335265,9231.851765890224
2022-05-16,9851.899451024452,9421.754643125034
2022-05-17,10249.045019518482,9041.948888655415
2022-05-18,10311.8165359048,8986.570378584713
2022-05-19,10307.315053560267,8990.493342861304
2022-05-20,10500.165742352203,9158.706192157226
2022-05-23,10580.321663710234,9088.790673555573
2022-05-24,10486.845537447763,9169.089266696505
2022-05-25,10277.303850372398,9352.300359777582
2022-05-26,10025.00487086896,9581.891298328652
2022-05-27,10081.255008434757,9528.127463735644
2022-05-31,10162.797534787285,9451.058925726054
2022-06-01,9969.262517900965,9631.039963675787
2022-06-02,10132.873305649902,9472.979923380022
2022-06-03,10102.021034571731,9501.822970726842
2022-06-06,10005.120193645485,9592.966577837216
2022-06-07,9896.342990542533,9488.670372134462
2022-06-08,9660.979384492974,9263.002397859982
2022-06-09,9941.105781637872,8994.415602961935
2022-06-10,9563.660299789897,8652.91420404597
2022-06-13,9534.841678893037,8626.83997657629
2022-06-14,9398.90975132146,8749.82712480167
2022-06-15,9087.84306967309,8460.24250693402
2022-06-16,9068.261796525769,8442.013503841561
2022-06-17,9296.542815887717,8654.529583699625
2022-06-21,9313.397218803027,8638.839134945183
2022-06-22,9222.102025846025,8723.521927616908
2022-06-23,8928.895747082162,9000.876417400583
2022-06-24,8894.790004862956,8966.49573029948
2022-06-27,9076.535945365753,8783.284637218403
2022-06-28,9069.144105017223,8776.131617810468
2022-06-29,8995.4636550458,8704.831689270246
2022-06-30,9090.604310148008,8796.898471064987
2022-07-01,9073.436000506064,8813.512094503794
2022-07-05,9042.791927214867,8843.278316534981
2022-07-06,8907.356735163467,8975.72536461527
2022-07-07,8914.683781193646,8968.342079668215
2022-07-08,8812.846190472941,8865.891519158233
