Date,strategy_value,benchmark_value
2022-01-26,9950.620364937784,9950.620364937784
2022-01-27,10197.74810161203,10197.74810161203
2022-01-28,10381.42042994731,10381.420429947308
2022-01-31,10451.566918264045,10451.566918264043
2022-02-01,10553.094304089658,10553.094304089656
2022-02-02,10305.044096907006,10305.044096907006
2022-02-03,10353.500557284857,10353.500557284857
2022-02-04,10320.273310407243,10320.273310407241
2022-02-07,10405.187072794051,10405.187072794051
2022-02-08,10557.47850362045,10557.47850362045
2022-02-09,10557.47850362045,10367.806596100725
2022-02-10,10349.298530426662,10163.366710334965
2022-02-11,10315.463413867214,10130.139463457353
2022-02-14,10315.463413867214,10293.506877968277
2022-02-15,10315.463413867214,10305.044096907006
2022-02-16,10315.463413867214,10084.913762386806
2022-02-17,10315.463413867214,10019.61341303103
2022-02-18,10315.463413867214,9912.086448020971
2022-02-22,10315.463413867214,9736.259344062912
2022-02-23,10470.702041526143,9882.781461243987
2022-02-24,10701.727642573878,10100.83518085633
2022-02-25,10674.346985337663,10074.991923101732
2022-02-28,10511.77377344742,9921.547052051843
2022-03-01,10705.150597761884,10104.065940163633
2022-03-02,10651.85530485537,10053.76313041705
2022-03-03,10565.313030248108,9972.080127337547
2022-03-04,10253.856189018774,9678.111309939108
2022-03-07,10176.114520208743,9604.734766491027
2022-03-08,10448.944490927239,9862.245577704549
2022-03-09,10401.761724580298,9817.712081603291
2022-03-10,10269.502705192013,9692.87928818514
2022-03-11,10194.449861686597,9622.04059489912
2022-03-14,10418.63029842528,9833.633500072812
2022-03-15,10649.655153406062,10051.686515509193
2022-03-16,10782.892266571915,10177.442483611714
2022-03-17,10867.234389729867,10257.048871783358
2022-03-18,10864.056890569947,10254.049786367097
2022-03-21,10991.181477176226,10374.036440824293
2022-03-22,10849.63243206845,10240.435248344555
2022-03-23,11013.183737736259,10394.803294078809
2022-03-24,11066.96770449808,10445.567339079598
2022-03-25,11145.687467085674,10519.867057212045
2022-03-28,11283.568847044318,10650.006520669398
2022-03-29,11213.895146282039,10584.244936059415
2022-03-30,11041.298524855865,10421.339460978652
2022-03-31,11072.590811135391,10450.874713294757
2022-04-01,11167.44501768458,10540.40294075148
2022-04-04,11026.385392499062,10407.263687701905
2022-04-05,10916.128633670809,10303.19774753827
2022-04-06,10971.13465810437,10355.115232762546
2022-04-07,10941.798559379979,10327.426329815176
2022-04-08,10754.778225519261,10150.907020887831
2022-04-11,10714.929297336681,10113.295574479424
2022-04-12,10837.653581044344,10229.128999120907
2022-04-13,10702.705736351445,10101.758355540695
2022-04-14,10707.10603925006,10105.911585356407
2022-04-18,10879.947370637363,10269.04803015225
2022-04-19,10871.879402589613,10261.433071314152
2022-04-20,10709.306190699368,10107.988200264264
2022-04-21,10415.452053198405,9830.633710480588
2022-04-22,10475.836474308147,9887.627600204944
2022-04-25,10172.447601126563,9601.2737416446
2022-04-26,10201.05031603452,9628.270439622685
