Date,strategy_value,benchmark_value
2022-01-26,9950.620364937784,9950.620364937784
2022-01-27,10197.748101612031,10197.74810161203
2022-01-28,10381.420429947311,10381.420429947308
2022-01-31,10451.566918264047,10451.566918264043
2022-02-01,10553.094304089658,10553.094304089656
2022-02-02,10305.044096907008,10305.044096907006
2022-02-03,10353.500557284859,10353.500557284857
2022-02-04,10320.273310407243,10320.273310407241
2022-02-07,10405.187072794051,10405.187072794051
2022-02-08,10557.478503620452,10557.47850362045
2022-02-09,10747.150411140177,10367.806596100725
2022-02-10,10535.23035051836,10163.366710334965
2022-02-11,10500.787364277076,10130.139463457353
2022-02-14,10331.442560267293,10293.506877968277
2022-02-15,10319.862822070798,10305.044096907006
2022-02-16,10540.309705544769,10084.913762386806
2022-02-17,10608.558767689181,10019.61341303103
2022-02-18,10722.406086981651,9912.086448020971
2022-02-22,10912.60717326381,9736.259344062912
2022-02-23,11076.832287908794,9882.781461243987
2022-02-24,11321.23154851903,10100.83518085633
2022-02-25,11292.265873921908,10074.991923101732
2022-02-28,11120.281589059914,9921.547052051843
2022-03-01,11324.852652471389,10104.065940163633
2022-03-02,11268.472190214019,10053.76313041705
2022-03-03,11176.920137845707,9972.080127337547
2022-03-04,10847.433616164844,9678.111309939108
2022-03-07,10765.191620950418,9604.734766491027
2022-03-08,11053.815231552499,9862.245577704549
2022-03-09,11003.901139103691,9817.712081603291
2022-03-10,10863.985881223449,9692.87928818514
2022-03-11,10784.588362609788,9622.04059489912
2022-03-14,11021.746204570747,9833.633500072812
2022-03-15,11266.144675925549,10051.686515509193
2022-03-16,11407.094647685813,10177.442483611714
2022-03-17,11496.319185765651,10257.048871783358
2022-03-18,11492.957746852595,10254.049786367097
2022-03-21,11627.4413488043,10374.036440824293
2022-03-22,11477.69828220244,10240.435248344555
2022-03-23,11650.717280944456,10394.803294078809
2022-03-24,11707.61470551412,10445.567339079598
2022-03-25,11790.891414608564,10519.867057212045
2022-03-28,11936.754501474203,10650.006520669398
2022-03-29,11863.047514572947,10584.244936059415
2022-03-30,11680.459582893176,10421.339460978652
2022-03-31,11713.56332375495,10450.874713294757
2022-04-01,11813.908470964858,10540.40294075148
2022-04-04,11664.683155930727,10407.263687701905
2022-04-05,11548.04383019064,10303.19774753827
2022-04-06,11606.23405516875,10355.115232762546
2022-04-07,11575.199742067023,10327.426329815176
2022-04-08,11377.353134992534,10150.907020887831
2022-04-11,11335.1974235053,10113.295574479424
2022-04-12,11465.025996880058,10229.128999120907
2022-04-13,11322.266262399053,10101.758355540695
2022-04-14,11326.921290975997,10105.911585356407
2022-04-18,11509.76809843963,10269.04803015225
2022-04-19,11501.233090126461,10261.433071314152
2022-04-20,11329.248805264468,10107.988200264264
2022-04-21,11018.383976402254,9830.633710480588
2022-04-22,11082.263943837332,9887.627600204944
2022-04-25,10761.312430469636,9601.2737416446
2022-04-26,10791.570905475206,9628.270439622685
2022-04-27,11064.16000258641,9871.47521202034
2022-04-28,10655.276751547322,9506.668405511839
2022-04-29,10719.415594766264,9563.893264951275
2022-05-02,10768.553849118913,9607.73455608325
2022-05-03,11096.487905352024,9900.31825936716
2022-05-04,10702.087491611497,9548.433081735957
2022-05-05,10638.207524176421,9491.439192011603
2022-05-06,10297.601182620927,9187.549239504046
2022-05-09,10321.394077073373,9208.777328012768
2022-05-10,10157.427048956817,9062.485476370812
2022-05-11,10146.823402139042,9053.02487233994
2022-05-12,10389.4121107731,9269.46321229863
2022-05-13,10347.256399285867,9231.851765890224
2022-05-16,10560.103595226647,9421.754643125034
2022-05-17,10134.409203345087,9041.948888655415
2022-05-18,10072.33978788619,8986.570378584713
2022-05-19,10067.942845837673,8990.493342861304
2022-05-20,10256.314861483686,9158.706192157226
2022-05-23,10334.609279651235,9088.790673555573
2022-05-24,10425.914560587204,9169.089266696505
2022-05-25,10634.23876241966,9352.300359777582
2022-05-26,10895.300187343588,9581.891298328652
2022-05-27,10834.166837060675,9528.127463735644
2022-05-31,10746.534361334236,9451.058925726054
2022-06-01,10951.18575795716,9631.039963675787
2022-06-02,10771.460113715468,9472.979923380022
2022-06-03,10804.256734901954,9501.822970726842
2022-06-06,10907.893577431993,9592.966577837216
2022-06-07,10789.301283473214,9488.670372134462
2022-06-08,10532.700551338105,9263.002397859982
2022-06-09,10227.298030514148,8994.415602961935
2022-06-10,9838.98635594566,8652.91420404597
2022-06-13,9809.338082281276,8626.83997657629
2022-06-14,9949.183323411758,8749.82712480167
2022-06-15,9619.904766280186,8460.24250693402
2022-06-16,9599.177077494674,8442.013503841561
2022-06-17,9840.82315889981,8654.529583699625
2022-06-21,9822.981989142063,8638.839134945183
2022-06-22,9919.27242055428,8723.521927616908
2022-06-23,10234.64444163197,9000.876417400583
2022-06-24,10195.551125401282,8966.49573029948
2022-06-27,9987.226923568824,8783.284637218403
2022-06-28,9979.093425570476,8776.131617810468
2022-06-29,9898.020274081335,8704.831689270246
2022-06-30,10002.706832684993,8796.898471064987
2022-07-01,10021.597718516357,8813.512094503794
2022-07-05,10055.444055776463,8843.278316534981
2022-07-06,10206.045884041203,8975.72536461527
2022-07-07,10197.650557548519,8968.342079668215
2022-07-08,10081.156895038223,8865.891519158233
