trial,lr,hidden_sizes,dropout,gamma,val_loss,val_acc,best_epoch
20,0.001,"[512, 256, 128, 64]",0.2,5.0,0.13019154836302219,0.37228260869565216,4
6,0.0001,"[512, 256, 128, 64]",0.2,1.0,0.6569052209024844,0.36684782608695654,11
23,0.001,"[512, 256, 128, 64]",0.3,5.0,0.12938616651555765,0.36277173913043476,15
2,0.0001,"[256, 128, 64, 32]",0.2,5.0,0.13053183192792145,0.36277173913043476,24
7,0.0001,"[512, 256, 128, 64]",0.2,2.0,0.4378395624782728,0.35190217391304346,14
22,0.001,"[512, 256, 128, 64]",0.3,2.0,0.4368624518746915,0.3383152173913043,17
13,0.001,"[256, 128, 64, 32]",0.2,2.0,0.43642168459684955,0.3328804347826087,4
4,0.0001,"[256, 128, 64, 32]",0.3,2.0,0.44056875031927356,0.31521739130434784,28
10,0.0001,"[512, 256, 128, 64]",0.3,2.0,0.43841212599173834,0.3138586956521739,18
3,0.0001,"[256, 128, 64, 32]",0.3,1.0,0.6596771504568018,0.3125,30
21,0.001,"[512, 256, 128, 64]",0.3,1.0,0.6560537089472231,0.3111413043478261,13
18,0.001,"[512, 256, 128, 64]",0.2,1.0,0.6571836549302806,0.30978260869565216,5
5,0.0001,"[256, 128, 64, 32]",0.3,5.0,0.1315012153076089,0.30842391304347827,29
8,0.0001,"[512, 256, 128, 64]",0.2,5.0,0.1302422460006631,0.30842391304347827,26
0,0.0001,"[256, 128, 64, 32]",0.2,1.0,0.6562945946403171,0.30570652173913043,22
16,0.001,"[256, 128, 64, 32]",0.3,2.0,0.4349356254805689,0.30434782608695654,18
15,0.001,"[256, 128, 64, 32]",0.3,1.0,0.6550445893536443,0.3029891304347826,9
11,0.0001,"[512, 256, 128, 64]",0.3,5.0,0.12993539675422336,0.3029891304347826,30
1,0.0001,"[256, 128, 64, 32]",0.2,2.0,0.4377801768157793,0.30027173913043476,20
14,0.001,"[256, 128, 64, 32]",0.2,5.0,0.1298332596602647,0.29891304347826086,8
12,0.001,"[256, 128, 64, 32]",0.2,1.0,0.655440382335497,0.297554347826087,5
9,0.0001,"[512, 256, 128, 64]",0.3,1.0,0.6584585749584696,0.296195652173913,18
19,0.001,"[512, 256, 128, 64]",0.2,2.0,0.436647021252176,0.29483695652173914,10
17,0.001,"[256, 128, 64, 32]",0.3,5.0,0.12903265849403714,0.29483695652173914,18
